Year;Month;Day;Incident code;Location start;Location end;Type of incident;Number of terrorists in attack force;Number of nationalities;First nationality of terrorists;Second nationality of terrorists;Third nationality of terrorists;Number of victims;Number of nationalities of victims;First victim's nationality;Second victim's nationality;Third victim's nationality;Number of US victims;Type of US victims;Type of immediate victims;Total individuals wounded;Terrorists wounded;Total number of individuals killed;Terrorists killed;Type of Weapon used;Terrorist logistical success;Number of Hostages;Escaped Hostages;Target of Demands 1;Target of Demands 2;Target of Demands 3;Number of Entities;Demands on Host Nation;Media Announcement;Political Change;Ransom demanded;Release Prisoners;Safe haven destination;Terrorist Negotiation Behavior;Sequential Release of Hostages;Passed Deadlines;Threats Carried Out;Terrorist Negotiation Success;Target Negotiator;Amount of Ransom Paid;Number of Prisoners Released;First hostage's fate;Second hostage's fate;Duration in Hours;Duration in Days;
1978;11;7;1;70;70;1;6;1;70;999;999;1;1;2;999;999;1;5;7;0;0;0;0;9;5;1;0;8;998;998;1;2;0;2;430;0;2;8;0;9;9;8;8;0;998;14;98;99;999;
1978;11;24;1;92;92;1;5;1;92;999;999;1;1;210;999;999;0;8;5;0;0;0;0;9;6;1;0;7;92;13;3;1;6;2;400;0;2;4;0;9;9;1;9;100;998;2;98;96;36;
1978;11;30;1;92;92;1;99;1;92;999;999;2;2;20;200;999;0;8;5;0;0;0;0;9;6;2;0;92;13;998;9;1;1;2;9998;998;2;1;0;8;0;9;7;9999;0;1;98;96;999;
1978;12;7;1;92;92;1;5;1;92;999;999;1;1;740;999;999;0;8;5;0;0;0;0;4;6;1;0;92;7;8;4;1;1;9;9998;5;2;2;0;9;9;9;7;9999;0;99;99;99;999;
1978;12;11;1;660;660;1;99;1;667;999;999;1;1;385;999;999;0;8;2;0;0;0;0;9;4;0;0;998;998;998;9;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;98;98;99;999;
1978;12;12;2;666;666;2;3;1;666;999;999;1;1;255;999;999;0;8;7;0;0;0;0;1;5;1;0;255;998;998;1;2;0;2;0;999;2;2;0;9;9;3;3;9999;998;2;98;99;1;
1978;12;21;1;750;750;9;2;1;750;998;998;130;1;750;998;998;0;8;7;0;0;0;0;1;3;130;1;750;12;998;2;1;4;1;0;1;2;2;1;9;0;3;1;0;0;1;98;99;998;
1978;12;27;1;93;94;1;99;1;93;998;998;4;1;93;998;998;0;8;7;4;0;0;0;9;9;1;0;999;999;999;9;9;0;2;9999;0;2;9;0;9;9;9;9;9999;998;99;99;99;999;
1979;1;1;1;552;552;1;99;1;552;999;999;1;1;225;999;999;0;8;7;0;0;1;0;9;6;1;0;998;998;998;8;2;0;2;0;0;2;8;0;9;9;8;8;0;998;3;98;99;999;
1979;1;12;1;616;620;9;3;1;616;999;999;83;1;616;999;999;0;8;7;0;0;0;0;5;5;83;0;616;999;999;9;2;0;2;0;2;9;9;1;8;8;9;9;0;0;1;98;13;998;
1979;1;16;1;92;92;2;99;1;92;999;999;156;2;70;92;999;0;8;2;0;0;0;0;3;5;156;0;92;998;998;1;1;0;1;0;998;9;1;1;9;9;1;3;0;0;1;98;99;998;
1979;1;16;2;92;92;2;99;1;92;999;999;999;1;996;999;999;0;8;2;0;0;0;0;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
1979;1;16;3;92;92;2;99;1;92;999;999;999;1;996;999;999;0;8;7;0;0;0;0;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
1979;1;16;4;660;660;9;6;1;660;999;999;76;99;660;999;999;0;8;7;0;0;0;0;5;5;76;0;352;12;998;2;2;0;2;0;999;1;1;0;9;9;3;3;0;0;1;98;99;998;
1979;1;17;1;92;92;1;99;1;92;999;999;1;1;666;999;999;0;8;2;0;0;1;0;4;6;1;0;92;998;998;1;1;5;1;9999;998;2;2;0;0;1;3;1;0;0;3;98;96;66;
1979;2;14;1;630;630;2;99;1;630;999;999;102;2;2;630;999;999;1;2;6;0;1;0;4;5;102;0;998;998;998;8;2;0;2;0;0;2;8;0;9;9;8;8;0;998;3;14;2;998;
1979;2;14;2;700;700;1;4;1;700;999;999;1;1;2;999;999;1;1;2;999;99;999;99;3;5;1;0;700;998;998;9;1;0;2;0;3;9;2;0;1;0;3;1;0;0;11;98;5;998;
1979;2;19;1;230;230;1;99;1;230;999;999;1;1;220;999;999;0;8;5;0;0;0;0;9;6;1;0;999;999;999;9;2;0;2;9999;0;2;8;0;9;9;8;8;0;998;1;98;96;10;
1979;2;27;2;385;380;9;4;4;380;140;255;999;99;365;999;999;0;8;7;0;0;0;0;9;3;9999;0;12;998;998;1;9;9;9;0;999;2;2;0;9;9;3;9;9999;998;14;98;99;999;
1979;3;8;1;93;94;9;3;1;93;999;999;1;1;93;999;999;0;8;4;0;0;0;0;4;5;1;0;94;12;998;1;2;0;2;0;0;2;9;0;9;9;8;3;0;998;1;98;99;998;
1979;3;9;1;840;840;1;99;1;840;999;999;1;1;2;999;999;1;5;7;0;0;0;0;9;6;1;0;840;9;998;2;1;0;1;68;0;2;1;0;3;0;1;7;9998;998;2;98;96;17;
1979;3;27;2;765;765;2;99;9;999;999;999;1;1;651;999;999;0;8;2;0;0;0;0;9;6;1;0;998;998;998;8;2;0;2;0;0;2;8;0;9;9;8;8;0;998;1;98;99;998;
1979;4;21;1;204;204;10;20;1;204;999;999;1;1;205;999;999;0;8;5;0;0;0;0;5;6;0;0;998;998;998;9;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;98;98;99;999;
1979;5;4;2;92;92;2;99;1;92;999;999;5;1;94;999;999;0;8;2;3;3;0;0;4;5;5;5;92;12;998;2;1;5;1;0;5;1;5;0;9;9;1;1;0;2;10;98;96;5;
1979;5;4;3;92;92;2;16;1;92;999;999;8;2;92;220;999;0;8;2;2;0;0;0;9;6;6;0;92;12;998;2;1;5;1;0;5;1;5;0;8;0;1;1;0;2;2;98;96;23;
1979;5;11;1;92;92;2;9;1;92;999;999;8;2;101;92;999;0;8;2;0;0;0;0;3;5;8;8;92;12;998;2;1;9;2;0;10;9;9;0;9;9;3;1;0;0;10;98;96;9;
1979;5;29;1;100;100;1;1;9;999;999;999;1;1;145;999;999;0;8;7;0;0;0;0;1;6;1;0;999;999;999;9;9;0;2;50;0;2;9;0;9;9;9;9;9999;998;99;98;96;999;
1979;5;30;1;92;92;1;99;9;999;999;999;1;1;225;999;999;0;8;2;0;0;1;0;9;6;1;0;998;998;998;9;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;7;98;99;999;
1979;6;5;1;93;93;1;99;1;93;999;999;1;1;90;999;999;0;8;4;0;0;0;0;9;6;1;0;93;999;999;9;1;0;1;0;0;2;9;0;9;9;3;9;0;998;1;98;96;9;
1979;6;15;1;92;92;1;99;9;999;999;999;1;2;2;93;999;1;4;5;0;0;0;0;9;6;1;0;999;999;999;9;9;0;2;9999;0;2;9;0;9;9;9;9;9999;998;1;98;96;12;
1979;6;20;2;2;205;9;1;1;2;999;999;135;1;2;999;999;135;5;7;0;0;0;0;5;5;135;0;2;12;998;2;1;0;2;0;1;1;3;1;9;9;1;5;0;0;2;98;22;1;
1979;7;1;1;93;93;1;99;1;93;999;999;1;1;200;999;999;0;8;7;0;0;0;0;9;6;1;0;998;998;998;9;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;99;98;99;999;
1979;7;13;2;640;640;2;4;1;667;999;999;25;2;651;640;999;0;8;2;6;0;3;0;5;5;19;3;651;640;998;2;1;0;1;0;2;1;1;2;8;0;3;3;0;0;1;10;99;2;
1979;7;18;1;90;90;1;99;1;90;998;998;1;1;90;998;998;0;8;1;0;0;0;0;9;6;1;0;90;8;998;2;1;5;2;0;3;2;4;1;9;0;1;9;0;0;2;98;98;17;
1979;8;2;2;2;2;1;99;1;325;999;999;1;1;325;999;999;0;8;5;1;0;0;0;3;6;1;0;9;998;998;1;2;0;2;9999;0;2;1;2;0;9;9;2;9998;998;1;98;96;45;
1979;8;5;1;607;225;9;3;2;220;155;999;23;99;607;999;999;0;8;7;0;0;0;0;9;5;23;0;235;600;225;5;2;0;2;0;999;1;3;1;9;9;2;3;9999;998;2;98;24;1;
1979;8;21;1;325;325;1;99;1;325;999;999;3;1;200;999;999;0;8;5;0;0;0;0;9;5;3;0;7;998;998;1;2;0;2;245;0;2;9;1;9;9;2;4;65;998;2;98;96;212;
1979;8;24;1;620;352;9;1;1;620;999;999;68;99;620;999;999;0;8;7;0;0;0;0;9;5;68;0;350;352;12;3;2;0;2;0;999;1;2;0;9;9;3;3;9999;998;14;98;99;999;
1979;9;7;1;660;630;9;3;1;630;999;999;183;3;325;630;2;1;5;7;0;0;0;0;3;5;183;0;12;220;352;4;2;2;9;0;0;1;1;1;9;9;1;7;0;998;1;98;24;1;
1979;9;21;1;92;92;1;99;1;92;999;999;3;3;2;6;92;1;4;5;0;0;1;0;4;6;2;0;7;998;998;1;2;1;2;9999;0;2;2;0;9;9;2;4;9999;998;2;98;96;47;
1979;9;23;2;90;90;1;99;9;999;999;999;2;2;255;305;999;0;8;7;0;0;2;0;9;6;2;0;998;998;998;8;2;0;2;0;0;2;8;0;9;9;8;8;0;998;3;98;99;999;
1979;9;30;1;90;90;1;99;9;999;999;999;2;1;2;999;999;2;5;7;0;0;0;0;9;6;2;0;999;999;999;9;2;0;2;9999;0;2;8;9;9;9;8;8;0;998;99;99;99;999;
1979;10;7;2;90;90;1;16;1;90;998;998;3;1;90;998;998;0;8;7;0;0;2;0;4;6;1;0;8;998;998;1;2;1;2;800;0;2;2;9;9;9;9;9;9999;0;99;98;98;999;
1979;10;16;1;620;338;9;3;1;667;999;999;40;1;630;999;999;0;8;7;0;0;0;0;9;5;9999;0;338;12;998;2;2;0;9;0;0;1;1;0;9;9;3;3;0;998;1;98;99;998;
1979;10;23;1;840;840;10;99;1;840;999;999;44;1;820;999;999;0;8;7;0;0;3;0;9;5;9999;0;999;998;998;9;9;0;2;0;0;2;8;0;8;9;8;8;0;998;3;13;96;6;
1979;10;24;1;92;92;2;99;1;92;999;999;288;2;92;155;999;0;8;1;0;0;0;0;9;6;276;0;92;998;998;1;1;0;1;0;0;2;1;1;9;9;1;1;0;998;2;98;96;13;
1979;10;30;1;840;840;1;5;1;840;999;999;2;2;732;840;999;0;8;5;0;0;0;0;9;6;2;0;840;999;999;9;1;0;9;9998;0;2;9;0;9;9;9;1;9999;998;99;99;99;999;
